TIME,U235,U238,Pu239,Pu241
0,0.2264336205,0.0685736012,0.7013436863,0.003649092039
0.1,0.2260079963,0.06863556625,0.7016928382,0.003663599271
2,0.2104740783,0.07040850314,0.7150984443,0.00401897424
20,0.2184954374,0.07062126286,0.7042075451,0.00667575468
100,0.2382618412,0.07059568088,0.6723571838,0.01878529409
300,0.2287458858,0.0713263309,0.6633928254,0.03653495789
500,0.2000744044,0.07247148072,0.6692333973,0.05822071755
