TIME,U235,U238,Pu239,Pu241,(GWd/MTU)
0,0.9426204147,0.05737958531,0,0,0
0.1,0.9426196184,0.05737907315,0.000001308431938,0,0.004322
2,0.9402397612,0.05908914127,0.0006710975645,0,0.08645
20,0.9179440573,0.05925091382,0.022791672,0.00001335689439,0.8645
100,0.8340225982,0.05861062751,0.1059850614,0.001381712911,4.322
300,0.6851398083,0.06126655479,0.2350786998,0.01851493712,12.97
500,0.5712353616,0.06500174934,0.3167304026,0.04703248647,21.61
